activity_date,playerid
2017-05-07,24723489
2017-04-28,24723489
2017-04-29,24723489
2017-05-16,24723489
2017-05-03,24723489
2017-04-27,24723489
2017-05-11,24723489
2017-05-05,24723489
2017-05-01,24723489
2017-05-12,24723489
2017-05-08,24723489
2017-05-14,24723489
2017-04-21,24723489
2017-05-20,24723489
2017-05-22,24723489
2017-05-06,24723489
2017-05-04,24723489
2017-05-02,24723489
2017-05-21,24723489
2017-05-19,24723489
2017-04-30,24723489
2017-05-10,24723489
2017-05-13,24723489
2017-04-20,24723489
2017-04-23,37565750
2017-05-11,37565750
2017-05-12,37565750
2017-05-19,37565750
2017-05-22,37565750
2017-04-30,37565750
2017-04-26,37565750
2017-05-10,37565750
2017-05-20,37565750
2017-04-20,37565750
2017-05-15,37565750
2017-05-07,37565750
2017-05-01,37565750
2017-04-29,37565750
2017-05-02,37565750
2017-05-03,37565750
2017-05-14,37565750
2017-05-05,37565750
2017-05-21,37565750
2017-04-25,37565750
2017-04-21,37565750
2017-04-22,37565750
2017-05-17,37565750
2017-05-03,40503677
2017-05-20,40503677
2017-05-01,40503677
2017-04-23,40503677
2017-04-29,40503677
2017-05-06,40503677
2017-04-26,40503677
2017-05-18,40503677
2017-04-25,40503677
2017-05-22,40503677
2017-05-19,40503677
2017-05-21,40503677
2017-05-15,40503677
2017-05-10,40503677
2017-04-21,40503677
2017-05-09,40503677
2017-05-12,40503677
2017-05-16,40503677
2017-05-11,40503677
2017-04-22,40503677
2017-05-14,40503677
2017-05-08,40503677
2017-05-16,49698713
2017-05-18,49698713
2017-05-21,49698713
2017-05-12,49698713
2017-05-10,49698713
2017-05-22,49698713
2017-05-19,49698713
2017-05-15,49698713
2017-05-17,49698713
2017-05-11,49698713
2017-05-09,49698713
2017-05-08,49698713
2017-05-18,49969792
2017-05-11,49969792
2017-05-15,49969792
2017-05-17,49969792
2017-05-14,49969792
2017-05-22,49969792
2017-05-16,49969792
2017-05-13,49969792
2017-05-19,49969792
2017-05-20,49969792
